version3_ID,version1.6_ID,cluster_1_pos,cluster_1_neg,cluster_2_pos,cluster_2_neg,cluster_3_pos,cluster_3_neg,cluster_4_pos,cluster_4_neg,aba_0.5hr_upx,aba_4.0hr_upx,aba_0.5hr_downx,aba_4.0hr_upx,cold_0.5hr_upx,cold_4.0hr_upx,cold_0.5hr_downx,cold_4.0hr_downx,drought_0.5hr_upx,drought_4.0hr_upx,drought_0.5hr_downx,drought_4hr_downx,salt_0.5hr_upx,salt_4.0hr_upx,salt_0.5hr_downx,salt_4hr_downx,sporeSigx,caulonemaSigx,chloronemaSigx,gametophoreSigx,rhizoidSigx,sporeUpx,caulonemaUpx,chloronemaUpx,gamUpx,rhizUpx
Pp3c10_10670,Pp1s120_129V6,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10680,Pp1s120_127V6,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10700,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10710,,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10730,Pp1s120_123V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_1080,Pp1s95_93V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10820,Pp1s120_118V6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10840,Pp1s120_116V6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10850,Pp1s120_115V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10860,Pp1s120_113V6,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
