conditions,nonrandom,similarity
cold_0.5,480.851559064435,228.971887620918
cold_4.0,491.835107748111,296.757199617285
aba_0.5,444.549501115029,85.6010210390983
aba_4.0,291.309567678363,-255.177150280897
salt_0.5,424.218936743284,171.950203785196
salt_4.0,356.057077402513,-307.279298399697
drought_0.5,441.803628152055,195.723737794567
drought_4.0,450.261010877442,-447.562590811083
gam,2.50297128828538,0.0341465646219499
rhiz,1.78877982796222,0.412431014450665
chlor,19.9763739319635,-19.5875903018005
caul,7.87077184503272,7.41155582930948
spore,8.80045070139963,-8.22905657828137
