colnames.pwSums.,expected,detected
cluster_2_neg.rhizUpx.,1.17761548796032,4
cluster_3_pos.cluster_3_neg.,32.5476592373144,0
cluster_3_pos.cluster_4_pos.,5.54900272141652,34
cluster_3_pos.cluster_4_neg.,211.251507113576,269
cluster_3_pos.aba_0.5hr_upx.,81.8721278721279,162
cluster_3_pos.aba_4.0hr_upx.,76.2257742257742,77
cluster_3_pos.aba_0.5hr_downx.,135.447586895863,32
cluster_3_pos.aba_4.0hr_upx.1.,61.5257845602673,55
cluster_3_pos.cold_0.5hr_upx.,98.4542354197527,177
cluster_3_pos.cold_4.0hr_upx.,92.1588756071515,169
cluster_3_pos.cold_0.5hr_downx.,128.730373075201,33
cluster_3_pos.cold_4.0hr_downx.,123.148920045472,29
cluster_3_pos.drought_0.5hr_upx.,82.5860346550002,152
cluster_3_pos.drought_4.0hr_upx.,117.891970098867,154
cluster_3_pos.drought_0.5hr_downx.,118.89792965655,33
cluster_3_pos.drought_4hr_downx.,13.758930724448,8
cluster_3_pos.salt_0.5hr_upx.,79.8926590650729,170
cluster_3_pos.salt_4.0hr_upx.,82.488683730063,139
cluster_3_pos.salt_0.5hr_downx.,129.736332632884,37
cluster_3_pos.salt_4hr_downx.,140.05553067622,47
cluster_3_pos.sporeUpx.,3.1476799063006,7
cluster_3_pos.caulonemaUpx.,5.67880395466602,8
cluster_3_pos.chloronemaUpx.,2.1417203486169,9
cluster_3_pos.gamUpx.,3.76423576423576,12
cluster_3_pos.rhizUpx.,1.39536325743222,4
cluster_3_neg.cluster_4_pos.,5.90833304626408,0
cluster_3_neg.cluster_4_neg.,224.931275620931,815
cluster_3_neg.aba_0.5hr_upx.,87.1738261738262,169
cluster_3_neg.aba_4.0hr_upx.,81.1618381618382,169
cluster_3_neg.aba_0.5hr_downx.,144.21860897723,412
cluster_3_neg.aba_4.0hr_upx.1.,65.5099383375246,175
cluster_3_neg.cold_0.5hr_upx.,104.829722002136,168
cluster_3_neg.cold_4.0hr_upx.,98.1267008853216,150
cluster_3_neg.cold_0.5hr_downx.,137.066416342278,430
cluster_3_neg.cold_4.0hr_downx.,131.123531640773,410
cluster_3_neg.drought_0.5hr_upx.,87.933962589135,159
cluster_3_neg.drought_4.0hr_upx.,125.526163491681,229
cluster_3_neg.drought_0.5hr_downx.,126.597264804161,401
cluster_3_neg.drought_4hr_downx.,14.6499018223156,24
cluster_3_neg.salt_0.5hr_upx.,85.0661752041063,109
cluster_3_neg.salt_4.0hr_upx.,87.8303076234111,127
cluster_3_neg.salt_0.5hr_downx.,138.137517654759,432
cluster_3_neg.salt_4hr_downx.,149.124944021496,464
cluster_3_neg.sporeUpx.,3.35151055840711,6
cluster_3_neg.caulonemaUpx.,6.04653966722932,13
cluster_3_neg.chloronemaUpx.,2.28040924592649,12
cluster_3_neg.gamUpx.,4.00799200799201,1
cluster_3_neg.rhizUpx.,1.48572117537635,1
cluster_4_pos.cluster_4_neg.,38.3482035206173,0
cluster_4_pos.aba_0.5hr_upx.,14.8621378621379,55
cluster_4_pos.aba_4.0hr_upx.,13.8371628371628,27
cluster_4_pos.aba_0.5hr_downx.,24.5876192772745,47
cluster_4_pos.aba_4.0hr_upx.1.,11.1686933755899,37
cluster_4_pos.cold_0.5hr_upx.,17.8722656653691,73
cluster_4_pos.cold_4.0hr_upx.,16.7294774191326,86
cluster_4_pos.cold_0.5hr_downx.,23.368252437218,32
cluster_4_pos.cold_4.0hr_downx.,22.3550587343691,26
cluster_4_pos.drought_0.5hr_upx.,14.9917324055255,82
cluster_4_pos.drought_4.0hr_upx.,21.400771642151,29
cluster_4_pos.drought_0.5hr_downx.,21.5833821351063,27
cluster_4_pos.drought_4hr_downx.,2.49764029074374,3
cluster_4_pos.salt_0.5hr_upx.,14.5028075372903,78
cluster_4_pos.salt_4.0hr_upx.,14.9740604223363,42
cluster_4_pos.salt_0.5hr_downx.,23.5508629301733,35
cluster_4_pos.salt_4hr_downx.,25.4240931482311,46
cluster_4_pos.sporeUpx.,0.571394123118261,0
cluster_4_pos.caulonemaUpx.,1.0308656860381,5
cluster_4_pos.chloronemaUpx.,0.388783630162941,0
cluster_4_pos.gamUpx.,0.683316683316683,2
cluster_4_pos.rhizUpx.,0.253298425712219,1
cluster_4_neg.aba_0.5hr_upx.,565.804195804196,1194
cluster_4_neg.aba_4.0hr_upx.,526.783216783217,1068
cluster_4_neg.aba_0.5hr_downx.,936.054979503255,1880
cluster_4_neg.aba_4.0hr_upx.1.,425.194116228599,903
cluster_4_neg.cold_0.5hr_upx.,680.400289365807,1264
cluster_4_neg.cold_4.0hr_upx.,636.894140342416,1135
cluster_4_neg.cold_0.5hr_downx.,889.633469978298,1944
cluster_4_neg.cold_4.0hr_downx.,851.06100795756,1899
cluster_4_neg.drought_0.5hr_upx.,570.737882806848,1100
cluster_4_neg.drought_4.0hr_upx.,814.731130938027,1670
cluster_4_neg.drought_0.5hr_downx.,821.683144441765,1717
cluster_4_neg.drought_4hr_downx.,95.0856040511213,183
cluster_4_neg.salt_0.5hr_upx.,552.124427296841,1077
cluster_4_neg.salt_4.0hr_upx.,570.065107306487,1185
cluster_4_neg.salt_0.5hr_downx.,896.585483482035,1802
cluster_4_neg.salt_4hr_downx.,967.899686520376,2064
cluster_4_neg.sporeUpx.,21.7530745116952,41
cluster_4_neg.caulonemaUpx.,39.2452375210996,35
cluster_4_neg.chloronemaUpx.,14.8010610079576,39
cluster_4_neg.gamUpx.,26.013986013986,18
cluster_4_neg.rhizUpx.,9.64311550518447,6
