Comparison,Expected_Overlap,Observed_Overlap,(Obs - Exp)^2/Exp
cluster_2_neg.cluster_4_pos.,4.68307554514451,102,2022.3000235756
cluster_2_neg.cluster_4_neg.,178.285507595852,132,12.0163901278062
cluster_2_neg.aba_0.5hr_upx.,69.0959040959041,144,81.2005234843231
cluster_2_neg.aba_4.0hr_upx.,64.3306693306693,114,38.3493974927937
cluster_2_neg.aba_0.5hr_downx.,114.310861552241,174,31.1675828548238
cluster_2_neg.aba_4.0hr_upx.1.,51.9246270970409,77,12.109366236706
cluster_2_neg.cold_0.5hr_upx.,83.0903579179441,237,285.089371611804
cluster_2_neg.cold_4.0hr_upx.,77.7773950187743,260,426.924529397373
cluster_2_neg.cold_0.5hr_downx.,108.641875366013,91,2.86478639457756
cluster_2_neg.cold_4.0hr_downx.,103.931413414172,84,3.82234040350755
cluster_2_neg.drought_0.5hr_upx.,69.6984050432326,206,266.550214115158
cluster_2_neg.drought_4.0hr_upx.,99.4948155292983,104,0.203997434510294
cluster_2_neg.drought_0.5hr_downx.,100.343794136898,126,6.5598565905517
cluster_2_neg.drought_4hr_downx.,11.6118364394226,9,0.587477236859456
cluster_2_neg.salt_0.5hr_upx.,67.4253332874023,218,336.264266710656
cluster_2_neg.salt_4.0hr_upx.,69.6162458231424,123,40.9362093045788
cluster_2_neg.salt_0.5hr_downx.,109.490853973613,126,2.48926638736664
cluster_2_neg.salt_4hr_downx.,118.19973130318,186,38.8907519896993
cluster_2_neg.sporeUpx.,2.6564814495849,6,4.20824180749192
cluster_2_neg.caulonemaUpx.,4.79262117193152,14,17.6888224297932
cluster_2_neg.chloronemaUpx.,1.8075028419856,5,5.63873973926023
cluster_2_neg.gamUpx.,3.17682317682318,17,60.1482068246219
cluster_2_neg.rhizUpx.,1.17761548796032,4,6.76439331449242
cluster_3_pos.cluster_3_neg.,32.5476592373144,0,32.5476592373144
cluster_3_pos.cluster_4_pos.,5.54900272141652,34,145.874725024343
cluster_3_pos.cluster_4_neg.,211.251507113576,269,15.786341485651
cluster_3_pos.aba_0.5hr_upx.,81.8721278721279,162,78.4207771143857
cluster_3_pos.aba_4.0hr_upx.,76.2257742257742,77,0.00786381713487153
cluster_3_pos.aba_0.5hr_downx.,135.447586895863,32,79.0077068172851
cluster_3_pos.aba_4.0hr_upx.1.,61.5257845602673,55,0.692162878236987
cluster_3_pos.cold_0.5hr_upx.,98.4542354197527,177,62.6629936964385
cluster_3_pos.cold_4.0hr_upx.,92.1588756071515,169,64.0693406799662
cluster_3_pos.cold_0.5hr_downx.,128.730373075201,33,71.1899150930261
cluster_3_pos.cold_4.0hr_downx.,123.148920045472,29,71.9780501725526
cluster_3_pos.drought_0.5hr_upx.,82.5860346550002,152,58.3427767787264
cluster_3_pos.drought_4.0hr_upx.,117.891970098867,154,11.0591910733848
cluster_3_pos.drought_0.5hr_downx.,118.89792965655,33,62.0570462462647
cluster_3_pos.drought_4hr_downx.,13.758930724448,8,2.4104549803467
cluster_3_pos.salt_0.5hr_upx.,79.8926590650729,170,101.628021715361
cluster_3_pos.salt_4.0hr_upx.,82.488683730063,139,38.7147511895254
cluster_3_pos.salt_0.5hr_downx.,129.736332632884,37,66.2885038883635
cluster_3_pos.salt_4hr_downx.,140.05553067622,47,61.8278460523746
cluster_3_pos.sporeUpx.,3.1476799063006,7,4.71470115961116
cluster_3_pos.caulonemaUpx.,5.67880395466602,8,0.948782723243518
cluster_3_pos.chloronemaUpx.,2.1417203486169,9,21.9617840428844
cluster_3_pos.gamUpx.,3.76423576423576,12,18.0190128342995
cluster_3_pos.rhizUpx.,1.39536325743222,4,4.86191142313607
cluster_3_neg.cluster_4_pos.,5.90833304626408,0,5.90833304626408
cluster_3_neg.cluster_4_neg.,224.931275620931,815,1547.94436002364
cluster_3_neg.aba_0.5hr_upx.,87.1738261738262,169,76.8065716156616
