conditions,nonrandom,similarity
cold_0.5,66.3058854714385,36.4358300861372
cold_4.0,70.7815162666777,24.4699270326425
aba_0.5,66.006723335087,-41.9062002227729
aba_4.0,50.2161284560694,42.0098819718116
salt_0.5,63.4972409694283,-22.3781893247757
salt_4.0,23.8545165263454,19.6415696509552
drought_0.5,65.6926062996704,-24.5274308012457
drought_4.0,25.6921169716597,25.4850670486241
gam,6.46848411194205,1.9077004511584
rhiz,31.7866258395915,-24.2559363295946
chlor,18.9197672042601,-2.44270613019605
caul,25.3522618903816,3.8590183408277
spore,0.468282498472645,0.434047387886664
