"nameSafe","spore_p","caul_p","chlor_p","gam_p","rhiz_p"
"Pp1s1_100V6",0.0791672822262488,0.242361578613346,2.54597050156631,0.0298855372179179,0.401839031814921
"Pp1s1_106V6",0.304073931767423,0.527214340977193,0.528061528188821,0.527600536900978,0.525881148796735
"Pp1s1_108V6",0.0765285289481449,2.41387769227615,0.037473453832521,0.031801219215692,3.13876342517596
"Pp1s1_109V6",0.585668129854717,0.11170236601262,3.22455104234084,0.182597006573923,4.25666077582231
"Pp1s1_111V6",1.02887874723592,4.1019323410818,2.75488328359461,4.42068014608592,0.369178706937835
"Pp1s1_115V6",0.233298851591522,0.501652676581539,0.493928038996098,0.495460020977784,0.500669371357544
"Pp1s1_116V6",4.95269664972868,3.21723144445313,2.13754699901162,2.52803433266963,1.65062252330662
"Pp1s1_117V6",0.381303239034671,4.71629796201346,3.52404244389404,0.00186276619459908,3.56510854298044
"Pp1s1_121V6",2.38109474165222,2.91701138184593,2.50713816804774,2.51826895850797,3.85162980024696
"Pp1s1_125V6",0.208523129670576,0.105569247520303,1.97673344002828,0.13888364727828,0.073674885605822
"Pp1s1_128V6",0.00414487650641028,3.69786570314439,1.5978081609247,0.439332383944123,0.270056441564674
"Pp1s1_12V6",1.08264473378686,0.377977202302421,0.138638615079882,4.78474319808268,0.0166240935986623
"Pp1s1_130V6",1.68196019537161,0.183239028979154,4.23556973236426,0.595871720209404,4.95213006175851
"Pp1s1_132V2",0.00172318088727018,0.293494393488125,2.89223648193664,3.85106142051181,0.413483573782832
"Pp1s1_134V6",0.000377757700046651,1.36333242965301,1.98778197141806,1.72445546987128,2.09537904068133
"Pp1s1_135V6",0.065939092374261,1.57431506963207,3.36828970708716,1.21549480014643,0.0350831224493525
"Pp1s1_136V6",0.348261515989949,4.37572616437377,0.583381655194436,0.166936486124728,0.43423967057784
"Pp1s1_141V6",0.712577195445292,0.00786479057507547,0.735083997072348,0.04348992964919,4.80069135140033
"Pp1s1_147V6",0.0463568623456762,0.342903312955213,0.620409524033398,3.50080844110644,0.258520182314559
"Pp1s1_150V6",1.46177745130378,1.85167146320579,1.64875697984887,1.89042031899673,2.11793734608243
"Pp1s1_151V6",0.300273883948091,0.973843419870022,0.711245612199738,0.189626535695767,0.27543968572108
"Pp1s1_152V6",0.207761781405365,1.55994991828046,1.11161033013738,0.525542561647553,0.0207933812256735
"Pp1s1_154V6",0.734293531537233,0.000626584420862853,0.997271891327569,4.53318854631535,1.17629900852187
"Pp1s1_155V6",0.0228869488789014,0.518230963103499,2.11178495976365,0.00230285113570663,0.290362474430228
"Pp1s1_156V6",2.9098046707868,1.99154726178794,3.38406624331187,2.61426704082812,1.75139910574469
"Pp1s1_157V6",0.706255228823695,1.31472426937794,3.63975060713674,0.00892401226885187,2.2172166207492
"Pp1s1_158V6",1.61091924699922,1.83912796315564,0.333614966663687,4.56937990966514,4.47991512973993
"Pp1s1_162V6",0.588317671163957,4.56085273852646,0.0570191721300161,1.53076940264675,1.0388236144955
"Pp1s1_163V6",1.89515452803311,0.000430751378841248,1.29852080008271,4.37225170587348,0.10605302502612
"Pp1s1_164V6",0.00806406358293593,0.189153352818747,0.00210144047583911,4.7057768243682,1.50199381229087
"Pp1s1_167V6",0.590161775198645,3.33991109715648,3.58244013485445,0.193306072316103,0.316506059607524
"Pp1s1_168V6",4.59958695908853,0.00648043425297206,2.19666874631613,1.96577964676612,0.40266127907553
"Pp1s1_169V6",0.30316128370139,3.04202174678799,3.5840533857194,0.200428418038222,4.37718472600293
"Pp1s1_170V6",0.160053379787282,3.80416281874602,1.82336686852211,3.3231896166803,0.476515775621975
"Pp1s1_173V6",2.03413340495246,0.0241209181322833,0.0810504542641478,0.086666692088262,0.624004236810124
"Pp1s1_176V6",0.115602827252398,0.000941587308918642,3.3180063994821,0.248564986637482,0.978844404040917
"Pp1s1_178V6",0.895752898903565,0.899464393161055,1.14505265148844,0.293587477139383,0.918054404445234
"Pp1s1_179V6",0.00724689401243435,2.09322285046936,4.69427755612982,3.5556673821682,0.264274154624339
"Pp1s1_180V6",1.79145652010644,3.44869223386613,0.0471328672455609,2.11210941873854,0.443967097743475
"Pp1s1_183V6",0.000184218908354152,4.80479315446264,2.20679960272666,0.0054664622924299,1.42268924393581
"Pp1s1_184V6",0.267193487925126,0.199338256988878,1.00240647778134,0.0674433449617656,2.90987240194801
"Pp1s1_189V6",5.76421509809308e-06,1.9509405792718,2.16983739554824,0.900887577984141,0.141880461076028
"Pp1s1_190V6",1.30214732078229,0.0542947183590101,3.94132999644213,0.0678551527226124,1.21216773177913
"Pp1s1_191V6",0.0295511548343992,0.373779560332134,0.112613125555928,4.24902763786709,3.64942606660891
"Pp1s1_192V6",0.846232866092417,0.0401381826892298,2.98181369442647,2.00642422926308,4.80701638762771
"Pp1s1_193V6",2.65894758180911,0.0863032470069756,3.37397457843212,0.590770683009901,0.506626887726661
"Pp1s1_194V6",0.81374942853449,0.111327543085641,3.83150855206778,0.0644331583359294,3.37269548064785
"Pp1s1_196V6",4.12316274273969,0.712802045933922,4.95902067381199,1.73867551860379,3.37239801311073
"Pp1s1_197V6",2.37894341745705,1.00020115312577,2.68013229308128,1.24231416684999,0.61663338686653
"Pp1s1_199V6",0.000880240338353664,0.0124044933003561,0.104430274564597,0.975348698383872,0.00234413963871492
